Authors;Scores
Khan A.;1.11
Yi Wang W.;1.11
Tan Y.;1.11
Sun X.;1.10
Lim K.Y.H.;1.10
Beregi R.;1.10
Zhu Z.;1.10
Fan C.;1.10
Roßmann J.;1.10
Biancolini M.E.;1.10
Casiraghi E.;1.09
Tuegel E.;1.09
Viswanathan H.;1.08
Polini W.;1.08
Jain P.;1.08
Dröder K.;1.08
Loeken E.A.;1.07
Alvarez R.;1.07
Behrendt W.;1.07
Erkoyuncu J.A.;1.07
Nguyen N.-T.;1.06
Balta E.C.;1.06
Kyrki V.;1.06
Morate F.M.;1.06
Sepasgozar S.M.E.;1.06
Iglesias D.;1.05
Hafez W.;1.05
Qiao Q.;1.04
Zaccaria V.;1.04
Mavris D.N.;1.04
Kolonay R.;1.04
Jaensch F.;1.04
Strahilov A.;1.04
Zhang D.;1.03
Tähemaa T.;1.03
Königsberger J.;1.03
Choi S.;1.03
Zambal S.;1.02
Pereira C.E.;1.02
Silvestri M.;1.02
Shubenkova K.;1.02
Gao R.X.;1.01
Erdos G.;1.01
Deng X.;1.00
Hedlind M.;1.00
Grothoff J.;1.00
San O.;1.00
Chen G.;1.00
Pedrazzoli P.;1.00
Roda I.;1.00
Martinez-Velazquez R.;0.99
Velez G.;0.99
Tian G.;0.98
Verl A.;0.97
Gkournelos C.;0.97
Kong T.;0.97
Hallerbach S.;0.97
Schimanski C.P.;0.97
Müller J.R.;0.97
Ahmed S.E.;0.97
Zheng X.;0.97
Lee H.;0.96
Im S.J.;0.96
Vengayil H.;0.96
Losch D.;0.96
Stavropoulos P.;0.95
Kumar S.;0.95
Traar G.;0.94
Tammi K.;0.94
Petruzzelli A.M.;0.94
Sommer D.E.;0.94
Alge M.;0.94
Barandiaran I.;0.93
Matthews J.;0.93
Twiddle J.;0.93
Durand F.;0.93
Møller C.;0.93
Kuntzagk S.;0.93
Arunachalam N.;0.93
Accorsi R.;0.93
Haider M.F.;0.93
Zhang X.;0.92
Aminov D.;0.92
Umeda Y.;0.92
Yao F.;0.92
Coraddu A.;0.92
Joseph A.;0.92
Malozemov A.A.;0.92
Wagner R.;0.91
Cohen P.;0.90
Franke J.;0.90
Zhong R.Y.;0.90
Li Z.;0.90
Guerra-Zubiaga D.A.;0.90
Shevlyugin M.V.;0.90
Ma X.;0.90
Johny M.;0.89
Lechler T.;0.89
Bányai Á.;0.89
Ullah A.M.M.S.;0.89
Culler A.J.;0.89
Gomez E.;0.89
Zhang Z.;0.89
Bao J.;0.88
Singh S.;0.88
Dziurzanski P.;0.87
Rezaei Aderiani A.;0.87
Badawi H.;0.87
Huang S.;0.87
Rabah S.;0.87
