Countries;Scores
Article;28023.31
Review;7129.05
Conference Paper;4928.88
Book Chapter;534.10
Short Survey;171.76
Note;117.64
Letter;74.62
Editorial;54.32
Book;28.03
Data Paper;13.04
Retracted;10.57
Erratum;3.82
https://www.scopus.com/inward/record.url?eid=2-s2.0-85055459069&partnerID=40&md5=1a39ac29c85b44b49b40610d11d63f68;0.35
