Authors;Scores
Gonçalves;9.03
S.B.;9.03
Miao;9.00
Nakamura;8.94
Lam;8.94
Thompson;8.94
E.R.;8.92
Erol;8.91
Suto;8.91
Greco;8.86
N.C.;8.85
Shao;8.82
D.G.;8.78
R.T.;8.78
J.F.;8.72
Martinez;8.71
A.W.;8.66
J.Y.;8.66
H.S.;8.66
Murphy;8.63
Hsieh;8.62
Bhat;8.61
Martinez-Hernandez;8.57
Ferreira;8.51
Kato;8.49
Tran;8.47
Wolf;8.46
Rahman;8.46
Cohen;8.46
Jackson;8.43
G.S.;8.41
Paul;8.40
P.T.;8.40
Gomes;8.35
Zhuang;8.34
Yun;8.33
King;8.31
Müller;8.31
S.W.;8.29
P.C.;8.26
Clark;8.26
H.A.;8.25
Verma;8.24
Pereira;8.22
Rossi;8.22
F.J.;8.20
Javed;8.19
Jeong;8.19
Cooper;8.19
Lewis;8.19
S.G.;8.18
R.B.;8.18
Shimizu;8.17
Peters;8.10
V.A.;8.10
S.-H.;8.07
R.P.;8.05
James;8.03
Becker;8.00
B.H.;7.97
Y.-T.;7.96
D.H.;7.93
D.T.;7.85
C.N.;7.84
Tu;7.84
Subasi;7.83
Yamada;7.82
H.R.;7.81
Watanabe;7.80
Rodriguez;7.79
B.N.;7.79
T.D.;7.78
Torres;7.78
Ward;7.77
Morgan;7.77
Teng;7.76
Mao;7.75
M.I.;7.72
Tiwari;7.72
K.W.;7.71
J.-Y.;7.70
Fong;7.69
K.R.;7.68
Albert;7.67
T.R.;7.67
Wright;7.65
Dhiman;7.62
Zuo;7.60
Shang;7.60
Akbari;7.58
Seo;7.57
B.P.;7.55
Shu;7.54
K.D.;7.51
M.O.;7.50
B.C.;7.49
George;7.48
P.R.;7.47
D.N.;7.47
N.H.;7.44
Leung;7.44
Xi;7.43
L.S.;7.42
Bauer;7.38
Dispenzieri;7.37
D.L.;7.30
Saito;7.27
D.F.;7.25
Zhan;7.23
Ryu;7.23
S.Z.;7.23
Y.-S.;7.23
