Institutions;Scores
Xiamen University of Technology;1.27
The University of New South Wales;1.21
Mansoura University;1.21
University of Antwerp;1.21
São Paulo State University;1.21
University of Allameh Tabataba'I;1.21
University of Malta;1.20
University of Buea;1.20
Shiraz University of Medical Sciences;1.20
Amirkabir University of Technology;1.20
Qatar University;1.20
Cranfield University;1.20
Memorial University of Newfoundland;1.20
King Mongkut's University of Technology North Bangkok;1.20
Osaka University;1.18
University of Michigan;1.17
University of Minho;1.15
Research Center for Environmental Health Technology;1.13
Asia University;1.13
Sultan Qaboos University;1.12
Catholic University of Louvain;1.12
Yonsei University;1.08
Federal University of Santa Maria;1.08
Liverpool John Moores University;1.07
Huazhong Agricultural University;1.07
Ege University;1.07
Universitas Muhammadiyah Magelang;1.07
Hunan University;1.07
University at Buffalo;1.06
Istanbul Technical University;1.04
National University of Civil Engineering;1.03
University of Ottawa;1.02
Jiangsu University;1.02
Toyama Prefectural University;1.01
Jamia Millia Islamia University;1.00
University of Engineering and Technology;1.00
Saint Petersburg State University of Architecture and Civil Engineering;1.00
Wageningen University and Research;1.00
Federal University of Itajubá;1.00
Stefancel Mare University of Suceava;1.00
Northeast Normal University;1.00
University of Kentucky;1.00
Federal Research Centre;1.00
Deakin University;1.00
Università Politecnica of Marche;1.00
University of British Columbia;1.00
Kyushu University;1.00
Henan University;1.00
Tottori University of Environmental Studies;1.00
Ethiopian Civil Service University;1.00
Universitas Negeri Padang;1.00
University of Palermo;1.00
Université du Québec;1.00
Federal University of Technology Akure;1.00
Transport Research Centre;1.00
Jackson State UniversityMI;1.00
University of ReginaSaskatchewan  S4S 0A2;1.00
BOKU-University of Natural Resources and Applied Life Sciences;1.00
University of Kocaeli;1.00
University of Pretoria;1.00
Research Center for Eco-Environmental Science;1.00
Indust. Toxicology Research Centre;1.00
Naples Parthenope University;1.00
Universidade de São Paulo;1.00
Tehran University;1.00
University of Alicante;1.00
Vytautas Magnus University;1.00
The Norwegian University of Science and Technology;1.00
Arsi University;1.00
Niger Delta University;1.00
Curtin UniversityPerth  6102;1.00
Yale University;1.00
Fukuoka University;1.00
The University of Burdwan;1.00
University of Riau;1.00
Johns Hopkins University;1.00
George Washington University;1.00
The University of Toledo;1.00
Bundelkhand University;1.00
Ana G. Méndez University;1.00
King Mongkuts University of Technology Thonburi;1.00
Western Kentucky University;1.00
University of Duisburg-Essen;1.00
National Taipei University;1.00
University of Shizuoka;1.00
KhonKaen University;1.00
University of Hull;1.00
Sirnak University;1.00
European Commission - Joint Research Centre;1.00
University of Economics;1.00
University of Nevada;1.00
Riphah International University;1.00
Stanford University;1.00
California State University;1.00
NASA Ames Research Center;1.00
J.S.S University;1.00
University of Naples 'Federico II';1.00
University of Cincinnati;1.00
Covanta Energy Corporation;1.00
Universitas Atma Jaya Makassar;1.00
Law Faculty/Universityof Haxhi Zeka;1.00
Chemical Research Center;1.00
King Mongkut's University of Technology;1.00
York University;1.00
Presbyterian University College Ghana;1.00
Stony Brook University;1.00
Radiation Safety Research Center;1.00
Universitas Muhammadiyah Mataram;1.00
University of Technology;1.00
Universidade Estadual Do Oeste Do Paraná - UNIOESTE;1.00
University of Rwanda;1.00
Federal University of Espírito Santo;1.00
Bali State Polytechnic;1.00
Kitasato University;1.00
FTSP Universitas Islam Indonesia;1.00
Vilnius Gediminas technical university;1.00
University of Liege;1.00
Lisbon University;1.00
China University of Mining and Technology;1.00
JGC Corporation;1.00
Stockholm University;1.00
Bayero University;1.00
Alexandru Ioan Cuza University of Iasi;1.00
Louisiana State University;1.00
Technical University of Crete;1.00
Chengdu University of Technology;1.00
University of the Balearic Islands;1.00
University of Uyo;1.00
CES Loughborough University of Technology;1.00
Mediterranea University of Reggio Calabria;1.00
Universitätsklinikum Essen;1.00
Lupane State University;1.00
Jaume I University;1.00
National University of Sciences Technology;1.00
Av. da Universidade;1.00
California Polytechnic State Univ.;1.00
The Open University of Sri Lanka;1.00
Jawaharlal Nehru University;1.00
Samara State Technical University;1.00
Kansas State University;1.00
University of Applied Science and Technology;1.00
School of Public Health Bahir Dar University;1.00
Poznan University of Technology;1.00
University of Mines and Technology;1.00
Tokyo University of Science;1.00
Cardiff University;1.00
Burapha University;1.00
Leeds University;1.00
University of Hradec Kralove;1.00
University of Jos;1.00
Landmark University;1.00
Harokopio University;1.00
KIIT Deemed to be University;1.00
University of Pannonia;1.00
University of the Aegean;1.00
Federal University of Technology of Paraná;1.00
University of Zurich;1.00
Isabela State University;1.00
Ming-Dao University;1.00
Assam University;1.00
University of Göteborg;1.00
SEGI University College;1.00
King George Medical University;1.00
Bilkent University;1.00
University of Gondar;1.00
Suryakancana University;1.00
University of Lisbon;1.00
Utrecht University;1.00
University of Macau;1.00
Chulalongkorn University10330;1.00
University of Sri Jayewardenepura;1.00
North West University;1.00
Münster University of Applied Sciences;1.00
Mashhad University of Medical Sciences;1.00
Università Politecnica Delle Marche;1.00
